instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,datetime
814,2011-02-06,1.0,0.0,2,8,0,0,0.0,1.0,6861.52,3290.9695999999985,650000.0,31429.7335,2,21,23.0,2011-02-06 08:00:00
815,2011-02-06,1.0,0.0,2,9,0,0,0.0,1.0,11014.440000000004,12002.098400000004,560000.0000000001,31429.7335,7,38,45.0,2011-02-06 09:00:00
816,2011-02-06,1.0,0.0,2,10,0,0,0.0,1.0,13090.9,12002.098400000004,520000.0,76303.5731,15,74,89.0,2011-02-06 10:00:00
817,2011-02-06,1.0,0.0,2,11,0,0,0.0,1.0,15167.360000000002,16343.288000000004,490000.0,76303.5731,28,89,117.0,2011-02-06 11:00:00
818,2011-02-06,1.0,0.0,2,12,0,0,0.0,1.0,17243.82,25054.416799999988,460000.0,0.0,48,126,174.0,2011-02-06 12:00:00
819,2011-02-06,1.0,0.0,2,13,0,0,0.0,1.0,17243.82,33765.5456,460000.0,0.0,47,135,182.0,2011-02-06 13:00:00
820,2011-02-06,1.0,0.0,2,14,0,0,0.0,1.0,17243.82,29424.356,460000.0,26948.3648,47,114,161.0,2011-02-06 14:00:00
821,2011-02-06,1.0,0.0,2,15,0,0,0.0,1.0,17243.82,29424.356,460000.0,26948.3648,52,130,182.0,2011-02-06 15:00:00
822,2011-02-06,1.0,0.0,2,16,0,0,0.0,1.0,17243.82,29424.356,490000.0,31429.7335,42,115,157.0,2011-02-06 16:00:00
823,2011-02-06,1.0,0.0,2,17,0,0,0.0,1.0,17243.82,33765.5456,460000.0,0.0,24,97,121.0,2011-02-06 17:00:00
824,2011-02-06,1.0,0.0,2,18,0,0,0.0,1.0,13090.9,16343.288000000004,560000.0000000001,49385.2846,13,65,78.0,2011-02-06 18:00:00
825,2011-02-06,1.0,0.0,2,19,0,0,0.0,1.0,11014.440000000004,12002.098400000004,610000.0,40392.4709,1,20,21.0,2011-02-06 19:00:00
826,2011-02-06,1.0,0.0,2,20,0,0,0.0,1.0,11014.440000000004,12002.098400000004,610000.0,31429.7335,5,21,26.0,2011-02-06 20:00:00
827,2011-02-06,1.0,0.0,2,21,0,0,0.0,1.0,8937.980000000001,16343.288000000004,600000.0,0.0,5,22,27.0,2011-02-06 21:00:00
828,2011-02-06,1.0,0.0,2,22,0,0,0.0,1.0,8937.980000000001,16343.288000000004,600000.0,0.0,5,57,62.0,2011-02-06 22:00:00
829,2011-02-06,1.0,0.0,2,23,0,0,0.0,1.0,6861.52,12002.098400000004,650000.0,0.0,4,26,30.0,2011-02-06 23:00:00
830,2011-02-07,1.0,0.0,2,0,0,1,1.0,1.0,6861.52,12002.098400000004,650000.0,0.0,1,14,15.0,2011-02-07 00:00:00
831,2011-02-07,1.0,0.0,2,1,0,1,1.0,1.0,4785.06,7632.159200000005,750000.0,0.0,1,4,5.0,2011-02-07 01:00:00
832,2011-02-07,1.0,0.0,2,2,0,1,1.0,1.0,2708.6000000000004,3290.9695999999985,800000.0,0.0,0,3,3.0,2011-02-07 02:00:00
833,2011-02-07,1.0,0.0,2,3,0,1,1.0,1.0,2708.6000000000004,3290.9695999999985,860000.0,0.0,0,1,1.0,2011-02-07 03:00:00
834,2011-02-07,1.0,0.0,2,4,0,1,1.0,1.0,2708.6000000000004,3290.9695999999985,860000.0,0.0,1,1,2.0,2011-02-07 04:00:00
835,2011-02-07,1.0,0.0,2,5,0,1,1.0,1.0,2708.6000000000004,3290.9695999999985,860000.0,0.0,1,9,10.0,2011-02-07 05:00:00
836,2011-02-07,1.0,0.0,2,6,0,1,1.0,1.0,632.1399999999979,-1078.9695999999992,930000.0,0.0,1,29,30.0,2011-02-07 06:00:00
837,2011-02-07,1.0,0.0,2,7,0,1,1.0,1.0,632.1399999999979,-1078.9695999999992,860000.0,0.0,6,89,95.0,2011-02-07 07:00:00
838,2011-02-07,1.0,0.0,2,8,0,1,1.0,2.0,-1444.319999999999,-5420.159200000002,1000000.0,0.0,7,223,230.0,2011-02-07 08:00:00
839,2011-02-07,1.0,0.0,2,9,0,1,1.0,1.0,4785.06,7632.159200000005,800000.0,0.0,3,115,118.0,2011-02-07 09:00:00
840,2011-02-07,1.0,0.0,2,10,0,1,1.0,1.0,6861.52,3290.9695999999985,750000.0,31429.7335,6,49,55.0,2011-02-07 10:00:00
841,2011-02-07,1.0,0.0,2,11,0,1,1.0,1.0,13090.9,20713.227199999987,650000.0,26948.3648,11,36,47.0,2011-02-07 11:00:00
842,2011-02-07,1.0,0.0,2,12,0,1,1.0,2.0,15167.360000000002,29424.356,620000.0,0.0,7,59,66.0,2011-02-07 12:00:00
843,2011-02-07,1.0,0.0,2,13,0,1,1.0,2.0,19320.279999999995,33765.5456,569999.9999999999,26948.3648,10,54,64.0,2011-02-07 13:00:00
844,2011-02-07,1.0,0.0,2,14,0,1,1.0,2.0,19320.279999999995,33765.5456,569999.9999999999,26948.3648,8,52,60.0,2011-02-07 14:00:00
845,2011-02-07,1.0,0.0,2,15,0,1,1.0,2.0,21396.74,42476.6744,540000.0,26948.3648,4,46,50.0,2011-02-07 15:00:00
846,2011-02-07,1.0,0.0,2,16,0,1,1.0,2.0,19320.279999999995,29424.356,569999.9999999999,40392.4709,16,98,114.0,2011-02-07 16:00:00
847,2011-02-07,1.0,0.0,2,17,0,1,1.0,2.0,15167.360000000002,20713.227199999987,700000.0,49385.2846,9,207,216.0,2011-02-07 17:00:00
848,2011-02-07,1.0,0.0,2,18,0,1,1.0,2.0,17243.82,25054.416799999988,660000.0,40392.4709,5,170,175.0,2011-02-07 18:00:00
849,2011-02-07,1.0,0.0,2,19,0,1,1.0,2.0,15167.360000000002,29424.356,700000.0,0.0,5,123,128.0,2011-02-07 19:00:00
850,2011-02-07,1.0,0.0,2,20,0,1,1.0,2.0,15167.360000000002,25054.416799999988,700000.0,31429.7335,6,82,88.0,2011-02-07 20:00:00
851,2011-02-07,1.0,0.0,2,21,0,1,1.0,1.0,15167.360000000002,29424.356,700000.0,0.0,3,75,78.0,2011-02-07 21:00:00
852,2011-02-07,1.0,0.0,2,22,0,1,1.0,1.0,11014.440000000004,16343.288000000004,810000.0,26948.3648,3,34,37.0,2011-02-07 22:00:00
853,2011-02-07,1.0,0.0,2,23,0,1,1.0,2.0,13090.9,25054.416799999988,810000.0,0.0,6,19,25.0,2011-02-07 23:00:00
854,2011-02-08,1.0,0.0,2,0,0,2,1.0,2.0,11014.440000000004,20713.227199999987,870000.0,0.0,4,6,10.0,2011-02-08 00:00:00
855,2011-02-08,1.0,0.0,2,1,0,2,1.0,2.0,11014.440000000004,20713.227199999987,870000.0,0.0,0,4,4.0,2011-02-08 01:00:00
856,2011-02-08,1.0,0.0,2,2,0,2,1.0,2.0,8937.980000000001,7632.159200000005,930000.0,31429.7335,1,1,2.0,2011-02-08 02:00:00
857,2011-02-08,1.0,0.0,2,3,0,2,1.0,3.0,11014.440000000004,7632.159200000005,930000.0,49385.2846,0,1,1.0,2011-02-08 03:00:00
858,2011-02-08,1.0,0.0,2,4,0,2,1.0,1.0,8937.980000000001,3290.9695999999985,930000.0,49385.2846,0,3,3.0,2011-02-08 04:00:00
859,2011-02-08,1.0,0.0,2,5,0,2,1.0,1.0,8937.980000000001,-5420.159200000002,810000.0,98770.5692,0,2,2.0,2011-02-08 05:00:00
860,2011-02-08,1.0,0.0,2,6,0,2,1.0,1.0,8937.980000000001,-5420.159200000002,700000.0,98770.5692,0,39,39.0,2011-02-08 06:00:00
861,2011-02-08,1.0,0.0,2,7,0,2,1.0,1.0,6861.52,-14131.288,650000.0,125688.8577,3,97,100.0,2011-02-08 07:00:00
862,2011-02-08,1.0,0.0,2,8,0,2,1.0,1.0,6861.52,-14131.288,560000.0000000001,143614.33249999996,7,236,243.0,2011-02-08 08:00:00
863,2011-02-08,1.0,0.0,2,9,0,2,1.0,1.0,6861.52,-14131.288,520000.0,143614.33249999996,7,128,135.0,2011-02-08 09:00:00
864,2011-02-08,1.0,0.0,2,10,0,2,1.0,1.0,4785.06,-18501.227200000005,470000.0,143614.33249999996,4,44,48.0,2011-02-08 10:00:00
865,2011-02-08,1.0,0.0,2,11,0,2,1.0,1.0,4785.06,-18501.227200000005,470000.0,139163.0401,1,49,50.0,2011-02-08 11:00:00
866,2011-02-08,1.0,0.0,2,12,0,2,1.0,1.0,6861.52,-14131.288,380000.0,143614.33249999996,2,63,65.0,2011-02-08 12:00:00
867,2011-02-08,1.0,0.0,2,13,0,2,1.0,2.0,6861.52,-14131.288,320000.0,134681.6714,2,48,50.0,2011-02-08 13:00:00
868,2011-02-08,1.0,0.0,2,14,0,2,1.0,1.0,4785.06,-14131.288,370000.0,125688.8577,3,61,64.0,2011-02-08 14:00:00
869,2011-02-08,1.0,0.0,2,15,0,2,1.0,1.0,4785.06,-14131.288,350000.0,116726.1203,6,45,51.0,2011-02-08 15:00:00
870,2011-02-08,1.0,0.0,2,16,0,2,1.0,1.0,4785.06,-18501.227200000005,350000.0,143614.33249999996,4,79,83.0,2011-02-08 16:00:00
871,2011-02-08,1.0,0.0,2,17,0,2,1.0,1.0,4785.06,-18501.227200000005,320000.0,143614.33249999996,4,172,176.0,2011-02-08 17:00:00
872,2011-02-08,1.0,0.0,2,18,0,2,1.0,1.0,2708.6000000000004,-18501.227200000005,320000.0,116726.1203,1,151,152.0,2011-02-08 18:00:00
873,2011-02-08,1.0,0.0,2,19,0,2,1.0,1.0,-1444.319999999999,-35923.484800000006,400000.0,139163.0401,1,100,101.0,2011-02-08 19:00:00
874,2011-02-08,1.0,0.0,2,20,0,2,1.0,1.0,-1444.319999999999,-31553.5456,400000.0,98770.5692,3,53,56.0,2011-02-08 20:00:00
875,2011-02-08,1.0,0.0,2,21,0,2,1.0,1.0,-3520.779999999998,-40264.67439999999,330000.0,139163.0401,8,46,54.0,2011-02-08 21:00:00
876,2011-02-08,1.0,0.0,2,22,0,2,1.0,1.0,-5597.240000000001,-40264.67439999999,330000.0,107733.3066,0,29,29.0,2011-02-08 22:00:00
877,2011-02-08,1.0,0.0,2,23,0,2,1.0,1.0,-5597.240000000001,-40264.67439999999,330000.0,98770.5692,3,9,12.0,2011-02-08 23:00:00
878,2011-02-09,1.0,0.0,2,0,0,3,1.0,1.0,-7673.7,-48975.8032,360000.0,107733.3066,0,17,17.0,2011-02-09 00:00:00
879,2011-02-09,1.0,0.0,2,1,0,3,1.0,1.0,-7673.7,-40264.67439999999,360000.0,67340.8357,0,7,7.0,2011-02-09 01:00:00
880,2011-02-09,1.0,0.0,2,2,0,3,1.0,1.0,-9750.16,-48975.8032,380000.0,85296.38680000001,1,2,3.0,2011-02-09 02:00:00
881,2011-02-09,1.0,0.0,2,3,0,3,1.0,1.0,-11826.62,-48975.8032,450000.0,40392.4709,0,2,2.0,2011-02-09 03:00:00
882,2011-02-09,1.0,0.0,2,5,0,3,1.0,1.0,-11826.62,-40264.67439999999,450000.0,31429.7335,0,7,7.0,2011-02-09 05:00:00
883,2011-02-09,1.0,0.0,2,6,0,3,1.0,1.0,-11826.62,-27212.356,450000.0,0.0,0,43,43.0,2011-02-09 06:00:00
884,2011-02-09,1.0,0.0,2,7,0,3,1.0,1.0,-11826.62,-40264.67439999999,490000.0,31429.7335,4,95,99.0,2011-02-09 07:00:00
885,2011-02-09,1.0,0.0,2,8,0,3,1.0,1.0,-7673.7,-31553.5456,420000.0,0.0,1,198,199.0,2011-02-09 08:00:00
886,2011-02-09,1.0,0.0,2,9,0,3,1.0,1.0,-5597.240000000001,-31553.5456,390000.0,49385.2846,4,119,123.0,2011-02-09 09:00:00
887,2011-02-09,1.0,0.0,2,10,0,3,1.0,1.0,-3520.779999999998,-18501.227200000005,360000.0,0.0,8,51,59.0,2011-02-09 10:00:00
888,2011-02-09,1.0,0.0,2,11,0,3,1.0,2.0,-3520.779999999998,-27212.356,430000.0,49385.2846,1,40,41.0,2011-02-09 11:00:00
889,2011-02-09,1.0,0.0,2,12,0,3,1.0,2.0,632.1399999999979,-18501.227200000005,400000.0,67340.8357,4,57,61.0,2011-02-09 12:00:00
890,2011-02-09,1.0,0.0,2,13,0,3,1.0,1.0,632.1399999999979,-22842.41680000001,400000.0,76303.5731,2,67,69.0,2011-02-09 13:00:00
891,2011-02-09,1.0,0.0,2,14,0,3,1.0,1.0,2708.6000000000004,-18501.227200000005,340000.0,89777.7555,2,56,58.0,2011-02-09 14:00:00
892,2011-02-09,1.0,0.0,2,15,0,3,1.0,2.0,2708.6000000000004,-18501.227200000005,340000.0,85296.38680000001,3,61,64.0,2011-02-09 15:00:00
893,2011-02-09,1.0,0.0,2,16,0,3,1.0,2.0,2708.6000000000004,-14131.288,370000.0,76303.5731,7,72,79.0,2011-02-09 16:00:00
894,2011-02-09,1.0,0.0,2,17,0,3,1.0,2.0,2708.6000000000004,-14131.288,340000.0,76303.5731,9,157,166.0,2011-02-09 17:00:00
895,2011-02-09,1.0,0.0,2,18,0,3,1.0,2.0,632.1399999999979,-22842.41680000001,470000.0,89777.7555,2,168,170.0,2011-02-09 18:00:00
896,2011-02-09,1.0,0.0,2,19,0,3,1.0,3.0,-3520.779999999998,-35923.484800000006,860000.0,76303.5731,1,87,88.0,2011-02-09 19:00:00
897,2011-02-09,1.0,0.0,2,20,0,3,1.0,3.0,-3520.779999999998,-27212.356,860000.0,49385.2846,0,84,84.0,2011-02-09 20:00:00
898,2011-02-09,1.0,0.0,2,21,0,3,1.0,2.0,-3520.779999999998,-27212.356,860000.0,49385.2846,0,83,83.0,2011-02-09 21:00:00
899,2011-02-09,1.0,0.0,2,22,0,3,1.0,3.0,-1444.319999999999,-22842.41680000001,800000.0,49385.2846,4,42,46.0,2011-02-09 22:00:00
900,2011-02-09,1.0,0.0,2,23,0,3,1.0,3.0,-1444.319999999999,-27212.356,800000.0,58348.022,0,37,37.0,2011-02-09 23:00:00
901,2011-02-10,1.0,0.0,2,0,0,4,1.0,3.0,-3520.779999999998,-31553.5456,860000.0,58348.022,0,16,16.0,2011-02-10 00:00:00
902,2011-02-10,1.0,0.0,2,1,0,4,1.0,3.0,-3520.779999999998,-27212.356,800000.0,40392.4709,0,7,7.0,2011-02-10 01:00:00
903,2011-02-10,1.0,0.0,2,2,0,4,1.0,3.0,-3520.779999999998,-27212.356,800000.0,40392.4709,0,3,3.0,2011-02-10 02:00:00
904,2011-02-10,1.0,0.0,2,4,0,4,1.0,2.0,-3520.779999999998,-31553.5456,590000.0,67340.8357,0,1,1.0,2011-02-10 04:00:00
905,2011-02-10,1.0,0.0,2,5,0,4,1.0,2.0,-5597.240000000001,-35923.484800000006,500000.0,67340.8357,0,6,6.0,2011-02-10 05:00:00
906,2011-02-10,1.0,0.0,2,6,0,4,1.0,2.0,-5597.240000000001,-35923.484800000006,540000.0,85296.38680000001,0,26,26.0,2011-02-10 06:00:00
907,2011-02-10,1.0,0.0,2,7,0,4,1.0,1.0,-7673.7,-48975.8032,500000.0,125688.8577,0,99,99.0,2011-02-10 07:00:00
908,2011-02-10,1.0,0.0,2,8,0,4,1.0,1.0,-7673.7,-48975.8032,490000.0,98770.5692,5,173,178.0,2011-02-10 08:00:00
909,2011-02-10,1.0,0.0,2,9,0,4,1.0,1.0,-5597.240000000001,-40264.67439999999,420000.0,107733.3066,1,121,122.0,2011-02-10 09:00:00
910,2011-02-10,1.0,0.0,2,10,0,4,1.0,1.0,-5597.240000000001,-40264.67439999999,420000.0,89777.7555,1,34,35.0,2011-02-10 10:00:00
911,2011-02-10,1.0,0.0,2,11,0,4,1.0,1.0,-3520.779999999998,-35923.484800000006,390000.0,107733.3066,1,44,45.0,2011-02-10 11:00:00
912,2011-02-10,1.0,0.0,2,12,0,4,1.0,1.0,-1444.319999999999,-31553.5456,340000.0,116726.1203,4,65,69.0,2011-02-10 12:00:00
913,2011-02-10,1.0,0.0,2,13,0,4,1.0,1.0,632.1399999999979,-22842.41680000001,290000.0,89777.7555,3,59,62.0,2011-02-10 13:00:00
914,2011-02-10,1.0,0.0,2,14,0,4,1.0,1.0,2708.6000000000004,-18501.227200000005,270000.0,85296.38680000001,6,42,48.0,2011-02-10 14:00:00
915,2011-02-10,1.0,0.0,2,15,0,4,1.0,1.0,2708.6000000000004,-14131.288,250000.0,76303.5731,0,50,50.0,2011-02-10 15:00:00
916,2011-02-10,1.0,0.0,2,16,0,4,1.0,1.0,2708.6000000000004,-18501.227200000005,270000.0,89777.7555,4,76,80.0,2011-02-10 16:00:00
917,2011-02-10,1.0,0.0,2,17,0,4,1.0,1.0,632.1399999999979,-18501.227200000005,260000.0,58348.022,6,159,165.0,2011-02-10 17:00:00
918,2011-02-10,1.0,0.0,2,18,0,4,1.0,1.0,-1444.319999999999,-18501.227200000005,280000.00000000006,40392.4709,3,157,160.0,2011-02-10 18:00:00
919,2011-02-10,1.0,0.0,2,19,0,4,1.0,1.0,-3520.779999999998,-22842.41680000001,280000.00000000006,31429.7335,2,110,112.0,2011-02-10 19:00:00
920,2011-02-10,1.0,0.0,2,20,0,4,1.0,1.0,-3520.779999999998,-18501.227200000005,310000.0,26948.3648,4,93,97.0,2011-02-10 20:00:00
921,2011-02-10,1.0,0.0,2,21,0,4,1.0,1.0,-3520.779999999998,-9790.098399999992,390000.0,0.0,2,70,72.0,2011-02-10 21:00:00
922,2011-02-10,1.0,0.0,2,22,0,4,1.0,1.0,-5597.240000000001,-14131.288,390000.0,0.0,4,47,51.0,2011-02-10 22:00:00
923,2011-02-10,1.0,0.0,2,23,0,4,1.0,1.0,-5597.240000000001,-27212.356,420000.0,31429.7335,1,33,34.0,2011-02-10 23:00:00
924,2011-02-11,1.0,0.0,2,0,0,5,1.0,1.0,-7673.7,-31553.5456,490000.0,31429.7335,2,12,14.0,2011-02-11 00:00:00
925,2011-02-11,1.0,0.0,2,1,0,5,1.0,1.0,-7673.7,-31553.5456,540000.0,26948.3648,1,6,7.0,2011-02-11 01:00:00
926,2011-02-11,1.0,0.0,2,2,0,5,1.0,1.0,-7673.7,-31553.5456,540000.0,26948.3648,0,3,3.0,2011-02-11 02:00:00
927,2011-02-11,1.0,0.0,2,5,0,5,1.0,1.0,-9750.16,-35923.484800000006,630000.0,26948.3648,0,4,4.0,2011-02-11 05:00:00
928,2011-02-11,1.0,0.0,2,6,0,5,1.0,1.0,-7673.7,-18501.227200000005,680000.0,0.0,1,23,24.0,2011-02-11 06:00:00
929,2011-02-11,1.0,0.0,2,7,0,5,1.0,1.0,-9750.16,-22842.41680000001,730000.0,0.0,1,73,74.0,2011-02-11 07:00:00
930,2011-02-11,1.0,0.0,2,8,0,5,1.0,1.0,-7673.7,-35923.484800000006,740000.0,49385.2846,4,212,216.0,2011-02-11 08:00:00
931,2011-02-11,1.0,0.0,2,9,0,5,1.0,1.0,-5597.240000000001,-35923.484800000006,740000.0,67340.8357,8,132,140.0,2011-02-11 09:00:00
932,2011-02-11,1.0,0.0,2,10,0,5,1.0,1.0,-3520.779999999998,-31553.5456,690000.0,58348.022,5,39,44.0,2011-02-11 10:00:00
933,2011-02-11,1.0,0.0,2,11,0,5,1.0,1.0,4785.06,-5420.159200000002,470000.0,40392.4709,12,52,64.0,2011-02-11 11:00:00
934,2011-02-11,1.0,0.0,2,12,0,5,1.0,1.0,4785.06,-5420.159200000002,470000.0,40392.4709,7,64,71.0,2011-02-11 12:00:00
935,2011-02-11,1.0,0.0,2,13,0,5,1.0,1.0,6861.52,-5420.159200000002,350000.0,58348.022,21,89,110.0,2011-02-11 13:00:00
936,2011-02-11,1.0,0.0,2,14,0,5,1.0,1.0,13090.9,12002.098400000004,260000.0,76303.5731,17,67,84.0,2011-02-11 14:00:00
937,2011-02-11,1.0,0.0,2,15,0,5,1.0,1.0,15167.360000000002,20713.227199999987,210000.0,49385.2846,12,62,74.0,2011-02-11 15:00:00
938,2011-02-11,1.0,0.0,2,16,0,5,1.0,1.0,13090.9,12002.098400000004,280000.00000000006,58348.022,14,111,125.0,2011-02-11 16:00:00
939,2011-02-11,1.0,0.0,2,17,0,5,1.0,1.0,13090.9,25054.416799999988,240000.0,0.0,18,193,211.0,2011-02-11 17:00:00
940,2011-02-11,1.0,0.0,2,18,0,5,1.0,1.0,11014.440000000004,20713.227199999987,280000.00000000006,0.0,9,165,174.0,2011-02-11 18:00:00
941,2011-02-11,1.0,0.0,2,19,0,5,1.0,1.0,8937.980000000001,16343.288000000004,330000.0,0.0,7,94,101.0,2011-02-11 19:00:00
942,2011-02-11,1.0,0.0,2,20,0,5,1.0,1.0,4785.06,-5420.159200000002,550000.0000000001,40392.4709,2,61,63.0,2011-02-11 20:00:00
943,2011-02-11,1.0,0.0,2,21,0,5,1.0,1.0,2708.6000000000004,-9790.098399999992,590000.0,40392.4709,1,46,47.0,2011-02-11 21:00:00
944,2011-02-11,1.0,0.0,2,22,0,5,1.0,1.0,2708.6000000000004,-5420.159200000002,640000.0,26948.3648,2,41,43.0,2011-02-11 22:00:00
945,2011-02-11,1.0,0.0,2,23,0,5,1.0,1.0,632.1399999999979,-1078.9695999999992,690000.0,0.0,5,48,53.0,2011-02-11 23:00:00
946,2011-02-12,1.0,0.0,2,0,0,6,0.0,1.0,-1444.319999999999,-14131.288,690000.0,26948.3648,3,27,30.0,2011-02-12 00:00:00
947,2011-02-12,1.0,0.0,2,1,0,6,0.0,1.0,-3520.779999999998,-9790.098399999992,860000.0,0.0,2,22,24.0,2011-02-12 01:00:00
948,2011-02-12,1.0,0.0,2,2,0,6,0.0,1.0,-3520.779999999998,-9790.098399999992,800000.0,0.0,2,13,15.0,2011-02-12 02:00:00
949,2011-02-12,1.0,0.0,2,3,0,6,0.0,1.0,-5597.240000000001,-14131.288,800000.0,0.0,3,7,10.0,2011-02-12 03:00:00
950,2011-02-12,1.0,0.0,2,4,0,6,0.0,1.0,-5597.240000000001,-22842.41680000001,740000.0,26948.3648,0,4,4.0,2011-02-12 04:00:00
951,2011-02-12,1.0,0.0,2,5,0,6,0.0,1.0,-5597.240000000001,-22842.41680000001,740000.0,26948.3648,0,1,1.0,2011-02-12 05:00:00
952,2011-02-12,1.0,0.0,2,6,0,6,0.0,1.0,-5597.240000000001,-31553.5456,930000.0,58348.022,1,1,2.0,2011-02-12 06:00:00
953,2011-02-12,1.0,0.0,2,7,0,6,0.0,1.0,-5597.240000000001,-27212.356,800000.0,31429.7335,2,9,11.0,2011-02-12 07:00:00
954,2011-02-12,1.0,0.0,2,8,0,6,0.0,1.0,-3520.779999999998,-27212.356,860000.0,40392.4709,2,28,30.0,2011-02-12 08:00:00
955,2011-02-12,1.0,0.0,2,9,0,6,0.0,1.0,-1444.319999999999,-18501.227200000005,640000.0,40392.4709,5,38,43.0,2011-02-12 09:00:00
956,2011-02-12,1.0,0.0,2,10,0,6,0.0,1.0,4785.06,-9790.098399999992,410000.0,76303.5731,13,71,84.0,2011-02-12 10:00:00
957,2011-02-12,1.0,0.0,2,11,0,6,0.0,1.0,13090.9,7632.159200000005,280000.00000000006,98770.5692,30,84,114.0,2011-02-12 11:00:00
958,2011-02-12,1.0,0.0,2,12,0,6,0.0,1.0,13090.9,7632.159200000005,390000.0,139163.0401,27,93,120.0,2011-02-12 12:00:00
959,2011-02-12,1.0,0.0,2,13,0,6,0.0,1.0,13090.9,7632.159200000005,390000.0,125688.8577,32,103,135.0,2011-02-12 13:00:00
960,2011-02-12,1.0,0.0,2,14,0,6,0.0,1.0,17243.82,20713.227199999987,310000.0,85296.38680000001,30,90,120.0,2011-02-12 14:00:00
961,2011-02-12,1.0,0.0,2,15,0,6,0.0,1.0,17243.82,16343.288000000004,290000.0,125688.8577,47,127,174.0,2011-02-12 15:00:00
962,2011-02-12,1.0,0.0,2,16,0,6,0.0,1.0,17243.82,16343.288000000004,290000.0,125688.8577,42,103,145.0,2011-02-12 16:00:00
963,2011-02-12,1.0,0.0,2,17,0,6,0.0,1.0,15167.360000000002,12002.098400000004,310000.0,143614.33249999996,24,113,137.0,2011-02-12 17:00:00
964,2011-02-12,1.0,0.0,2,18,0,6,0.0,1.0,11014.440000000004,3290.9695999999985,380000.0,98770.5692,4,60,64.0,2011-02-12 18:00:00
965,2011-02-12,1.0,0.0,2,19,0,6,0.0,1.0,11014.440000000004,7632.159200000005,380000.0,49385.2846,2,39,41.0,2011-02-12 19:00:00
966,2011-02-12,1.0,0.0,2,20,0,6,0.0,1.0,8937.980000000001,3290.9695999999985,410000.0,67340.8357,1,39,40.0,2011-02-12 20:00:00
967,2011-02-12,1.0,0.0,2,21,0,6,0.0,1.0,8937.980000000001,16343.288000000004,410000.0,0.0,9,42,51.0,2011-02-12 21:00:00
968,2011-02-12,1.0,0.0,2,22,0,6,0.0,1.0,6861.52,3290.9695999999985,440000.0,26948.3648,6,39,45.0,2011-02-12 22:00:00
969,2011-02-12,1.0,0.0,2,23,0,6,0.0,1.0,4785.06,-5420.159200000002,510000.0,40392.4709,1,31,32.0,2011-02-12 23:00:00
970,2011-02-13,1.0,0.0,2,0,0,0,0.0,1.0,2708.6000000000004,-5420.159200000002,640000.0,31429.7335,5,34,39.0,2011-02-13 00:00:00
971,2011-02-13,1.0,0.0,2,1,0,0,0.0,1.0,2708.6000000000004,-5420.159200000002,590000.0,26948.3648,1,23,24.0,2011-02-13 01:00:00
972,2011-02-13,1.0,0.0,2,2,0,0,0.0,2.0,2708.6000000000004,-5420.159200000002,750000.0,26948.3648,1,19,20.0,2011-02-13 02:00:00
973,2011-02-13,1.0,0.0,2,3,0,0,0.0,2.0,2708.6000000000004,-5420.159200000002,690000.0,31429.7335,4,8,12.0,2011-02-13 03:00:00
974,2011-02-13,1.0,0.0,2,4,0,0,0.0,2.0,2708.6000000000004,-9790.098399999992,690000.0,49385.2846,0,2,2.0,2011-02-13 04:00:00
975,2011-02-13,1.0,0.0,2,6,0,0,0.0,2.0,2708.6000000000004,-9790.098399999992,690000.0,40392.4709,2,3,5.0,2011-02-13 06:00:00
976,2011-02-13,1.0,0.0,2,7,0,0,0.0,2.0,4785.06,7632.159200000005,550000.0000000001,0.0,0,3,3.0,2011-02-13 07:00:00
977,2011-02-13,1.0,0.0,2,8,0,0,0.0,2.0,4785.06,-5420.159200000002,640000.0,58348.022,1,11,12.0,2011-02-13 08:00:00
978,2011-02-13,1.0,0.0,2,9,0,0,0.0,2.0,6861.52,-5420.159200000002,600000.0,67340.8357,12,35,47.0,2011-02-13 09:00:00
979,2011-02-13,1.0,0.0,2,10,0,0,0.0,1.0,13090.9,7632.159200000005,450000.0,98770.5692,19,86,105.0,2011-02-13 10:00:00
980,2011-02-13,1.0,0.0,2,11,0,0,0.0,1.0,15167.360000000002,12002.098400000004,390000.0,134681.6714,26,86,112.0,2011-02-13 11:00:00
981,2011-02-13,1.0,0.0,2,12,0,0,0.0,1.0,19320.279999999995,20713.227199999987,320000.0,139163.0401,58,94,152.0,2011-02-13 12:00:00
982,2011-02-13,1.0,0.0,2,13,0,0,0.0,1.0,21396.74,42476.6744,290000.0,107733.3066,62,92,154.0,2011-02-13 13:00:00
983,2011-02-13,1.0,0.0,2,14,0,0,0.0,2.0,23473.2,46846.61360000001,300000.0,125688.8577,51,110,161.0,2011-02-13 14:00:00
984,2011-02-13,1.0,0.0,2,15,0,0,0.0,2.0,23473.2,46846.61360000001,300000.0,89777.7555,40,122,162.0,2011-02-13 15:00:00
985,2011-02-13,1.0,0.0,2,16,0,0,0.0,2.0,25549.66,51187.80320000002,280000.00000000006,98770.5692,28,106,134.0,2011-02-13 16:00:00
986,2011-02-13,1.0,0.0,2,17,0,0,0.0,1.0,25549.66,51187.80320000002,280000.00000000006,98770.5692,30,95,125.0,2011-02-13 17:00:00
987,2011-02-13,1.0,0.0,2,18,0,0,0.0,1.0,23473.2,46846.61360000001,320000.0,89777.7555,17,78,95.0,2011-02-13 18:00:00
